_id,Catch Year,Catch Month,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Pacific Fishery Management Area,Common Name,Scientific Name,Number of Fish,Comments
1,2011,January,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,English Sole,Parophrys vetulus,4,n/a
2,2011,January,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Pacific Hake,Merluccius productus,3,n/a
3,2011,January,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,80,n/a
4,2011,January,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Pacific Staghorn Sculpin,Leptocottus armatus ,32,n/a
5,2011,January,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Shiner Perch,Cymatogaster aggregata,8,n/a
6,2011,January,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Surfperch,Embiotocidae,387,n/a
7,2011,January,1401,Mainstream Canada,Brent Island,50.28613,-125.34917,Discovery Islands,13,Pacific Herring,Clupea pallasii,5,n/a
8,2011,January,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,300,n/a
9,2011,January,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,12,Yellowtail Rockfish,Sebastes flavidus,7,n/a
10,2011,January,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,12,Pacific Cod,Gadus macrocephalus,1,n/a
11,2011,January,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,12,Yellowtail Rockfish,Sebastes flavidus,13,n/a
12,2011,January,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,12,Pacific Herring,Clupea pallasii,1,n/a
13,2011,January,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Striped Seaperch,Embiotoca lateralis,160,n/a
14,2011,January,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Yellowtail Rockfish,Sebastes flavidus,1411,n/a
15,2011,January,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,13,Pacific Cod,Gadus macrocephalus,33,n/a
16,2011,January,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,13,Pacific Herring,Clupea pallasii,1372,n/a
17,2011,January,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,25,Pacific Herring,Clupea pallasii,5,n/a
18,2011,January,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,25,Rockfish,Sebastes sp. ,4,n/a
19,2011,January,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,25,Sablefish,Anoplopoma fimbria,2,n/a
20,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Chinook Salmon,Oncorhynchus tshawytscha,2,n/a
21,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Chum Salmon ,Oncorhynchus keta,20,n/a
22,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Coho Salmon,Oncorhynchus kisutch,2,n/a
23,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Lingcod,Ophiodon elongatus,1,n/a
24,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Pacific Herring,Clupea pallasii,4,n/a
25,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Pink Salmon,Oncorhynchus gorbuscha,3,n/a
26,2011,February,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Sablefish,Anoplopoma fimbria,1,n/a
27,2011,February,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,English Sole,Parophrys vetulus,4,n/a
28,2011,February,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,298,n/a
29,2011,February,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Surfperch,Embiotocidae,143,n/a
30,2011,February,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,481,n/a
31,2011,February,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,24,Surfperch,Embiotocidae,14,n/a
32,2011,February,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,12,Pacific Herring,Clupea pallasii,1,n/a
33,2011,February,1288,Marine Harvest Canada,Doyle Island,50.81456,-127.48698,Port Hardy,12,Yellowtail Rockfish,Sebastes flavidus,4,n/a
34,2011,February,1293,Marine Harvest Canada,Duncan Island,50.8195,-127.55568,Port Hardy,12,Yellowtail Rockfish,Sebastes flavidus,3,n/a
35,2011,February,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Kelp Greenling,Hexagrammos decagrammus,1,n/a
36,2011,February,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Pacific Cod,Gadus macrocephalus,5,n/a
37,2011,February,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Shiner Perch,Cymatogaster aggregata,5,n/a
38,2011,February,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Yellowtail Rockfish,Sebastes flavidus,169,n/a
39,2011,February,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,27,Pacific Herring,Clupea pallasii,64,n/a
40,2011,February,728,Mainstream Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,12,Pacific Cod,Gadus macrocephalus,3,n/a
41,2011,February,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,25,Sablefish,Anoplopoma fimbria,1,n/a
42,2011,March,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Chum Salmon ,Oncorhynchus keta,2,n/a
43,2011,March,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Coho Salmon,Oncorhynchus kisutch,1,n/a
44,2011,March,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,13,Pacific Cod,Gadus macrocephalus,7,n/a
45,2011,March,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,88,n/a
46,2011,March,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Pacific Staghorn Sculpin,Leptocottus armatus ,3,n/a
47,2011,March,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Shiner Perch,Cymatogaster aggregata,2,n/a
48,2011,March,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,24,Surfperch,Embiotocidae,10,n/a
49,2011,March,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,486,n/a
50,2011,March,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,24,China Rockfish,Sebastes nebulosus,1,n/a
51,2011,March,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,24,Chinook Salmon,Oncorhynchus tshawytscha,1,n/a
52,2011,March,234,Mainstream Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,24,Pacific Herring,Clupea pallasii,198,n/a
53,2011,March,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Central Coast,7,Yellowtail Rockfish,Sebastes flavidus,10,n/a
54,2011,March,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,27,Pile Perch,Rhacochilus vacca,5,n/a
