Audit Date,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Species,Number of carcasses assessed,IHNV positive PCR results (Y/N),IPNV positive results (Y/N),ISAV positive results (Y/N),VHSV positive results (Y/N),SAV positive results (Y/N),PRSal positive results (Y/N),PMCV positive results (Y/N),Bacterial pathogens isolated by culture (number of fish),Histologic diagnosis (number of fish),Veterinary diagnosis,Conditions of Note (number of fish)
11-04-2011,233,Creative Salmon Company,Indian Bay,49.11916,-125.72549,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),10,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),Jaundice syndrome,n/a
15-04-2011,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
19-04-2011,543,Mainstream Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
29-04-2011,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),5,N,N,N,N,n/a,N,n/a,Vibrio ordalii (1),BKD with Renibacterium-like bacteria (3),Bacterial Kidney Disease,n/a
02-05-2011,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
26-05-2011,306,Mainstream Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Atlantic salmon (Salmo salar),10,N,N,N,N,n/a,N,n/a,Yersinia ruckeri (4),Ulcerative stomatitis (1); Meningitis/encephalitis with intralesional bacilli (4),No disease that is significant at the population level,Enteric Redmouth Disease (4); Mouth rot (1)
26-05-2011,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
30-05-2011,137,Marine Harvest Canada,Conville Bay,50.18057,-125.14933,Discovery Islands,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
02-06-2011,520,Mainstream Canada,Bedwell,49.26548,-125.81247,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (4),Mouth rot,n/a
03-06-2011,1376,Marine Harvest Canada,Cleagh Creek,50.48224,-127.73243,Quatsino Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (3),Mouth rot,n/a
03-06-2011,1472,Mainstream Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
07-06-2011,869,Mainstream Canada,Maude Island,50.85271,-126.75743,Broughton Archipelago,Atlantic salmon (Salmo salar),7,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),Bacterial Kidney Disease,n/a
09-06-2011,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
21-06-2011,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,Mouth rot,n/a
22-06-2011,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (4),Mouth rot,n/a
07-07-2011,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
11-07-2011,1148,Mainstream Canada,Binns Island,49.34182,-125.95328,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (3),No disease that is significant at the population level,n/a
12-07-2011,526,Mainstream Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (1); Microsporidial encephalitis (1) ,No disease that is significant at the population level,n/a
12-07-2011,1537,Mainstream Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
21-07-2011,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,Aeromonas salmonicida (1),BKD with Renibacterium-like bacteria (1); Furunculosis-like lesions (1),No disease that is significant at the population level,n/a
22-07-2011,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,n/a,N,n/a,n/a,Ulcerative stomatitis (4),Mouth rot,n/a
26-07-2011,790,Marine Harvest Canada,Chancellor Channel,50.41723,-125.66284,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,Sphaerothecum destruens-like encephalitis (1),No disease that is significant at the population level,n/a
28-07-2011,378,Marine Harvest Canada,Thurlow,50.40808,-125.34088,Discovery Islands,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
04-08-2011,1691,Marine Harvest Canada,Kid Bay,52.80048,-128.40111,Central Coast,Atlantic salmon (Salmo salar),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
11-08-2011,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,Atlantic salmon (Salmo salar),1,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
11-08-2011,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,Atlantic salmon (Salmo salar),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
16-08-2011,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease causing significant mortality,n/a
17-08-2011,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Atlantic salmon (Salmo salar),4,N,N,N,N,n/a,N,n/a,n/a,BKD with Renibacterium-like bacteria (3)            ,No disease that is significant at the population level,n/a
17-08-2011,1198,Marine Harvest Canada,Raynor,50.89253,-127.25359,Port Hardy,Atlantic salmon (Salmo salar),5,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
23-08-2011,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,n/a,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
