ID,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Peak Biomass Date,Survey Type,Monitoring Type,Industry Survey Date,Industry Results,DFO Survey Date,DFO Results,outcomeid,Outcome,Comments
1,233,Creative Salmon Company,Indian Bay,49.11916,-125.72549,Clayoquot Sound,06-08-2011,Peak biomass,Sediment monitoring,26-08-2011,All sediment sampling stations had acceptable levels of chemical impact,12-07-2011,1 of 4 sediment sampling stations had chemical changes to the seabed which require additional monitoring,0,"There is disagreement between DFO and industry results.  When this occurs, DFO results are used.",n/a
2,465,Marine Harvest Canada,Swanson,50.61871,-126.70473,Broughton Archipelago,22-09-2011,Peak biomass,Sediment monitoring,06-10-2011,All sediment sampling stations had acceptable levels of chemical impact,23-08-2011,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
3,141,Marine Harvest Canada,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,14-08-2011,Peak biomass,Sediment monitoring,09-09-2011,All sediment sampling stations had acceptable levels of chemical impact,24-08-2011,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
4,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,15-09-2011,Peak biomass,Visual monitoring,16-08-2011,All transect videos showed acceptable levels of visual indicators of impact,14-09-2011,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
5,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,26-06-2012,Peak biomass,Sediment monitoring,12-07-2012,All sediment sampling stations had acceptable levels of chemical impact,24-07-2012,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
6,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,13-08-2012,Peak biomass,Sediment monitoring,06-09-2012,All sediment sampling stations had acceptable levels of chemical impact,25-07-2012,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
7,1300,Marine Harvest Canada,Althorpe,50.47531,-125.80975,Discovery Islands,20-07-2012,Peak biomass,Sediment monitoring,24-09-2012,All sediment sampling stations had acceptable levels of chemical impact,08-08-2012,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
8,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Broughton Archipelago,15-08-2012,Peak biomass,Sediment monitoring,07-09-2012,All sediment sampling stations had acceptable levels of chemical impact,13-08-2012,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
9,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,03-09-2012,Peak biomass,Sediment monitoring,20-09-2012,All sediment sampling stations had acceptable levels of chemical impact,14-08-2012,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
10,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,28-07-2012,Peak biomass,Sediment monitoring,22-08-2012,1 of 4 sediment sampling stations had chemical changes to the seabed which require additional monitoring,15-08-2012,2 of 8 sediment sampling stations had chemical changes to the seabed which require additional monitoring,1,There is agreement between DFO and industry results,DFO sampling occurred at additional stations
